Row,PLANTID,SPEC,LOC,YEAR,SEEDSPERFRUIT
408,5203,LUTI,AL,2010,4.00
409,5203,LUTI,AL,2010,2.00
410,5203,LUTI,AL,2010,4.00
411,5203,LUTI,AL,2010,1.50
412,5203,LUTI,AL,2010,2.00
415,5300,LUTI,AL,2010,4.50
416,5300,LUTI,AL,2010,2.00
434,441,LUTI,AL,2010,6.00
435,441,LUTI,AL,2010,4.00
436,4699,LUTI,AL,2010,5.00
437,4699,LUTI,AL,2010,1.00
585,4698,LUTI,AL,2010,2.00
586,4698,LUTI,AL,2010,2.00
592,456,LUTI,AL,2010,1.33
600,4693,LUTI,AL,2010,2.29
607,431,LUTI,AL,2010,4.67
608,1197,LUTI,AL,2010,3.67
623,421,LUTI,AL,2010,2.00
624,3210,LUTI,AL,2010,2.20
744,4693,LUTI,AL,2010,1.00
752,423,LUTI,AL,2010,4.50
760,4652,LUTI,AL,2010,1.00
761,4653,LUTI,AL,2010,1.00
762,4654,LUTI,AL,2010,1.50
775,5301,LUTI,AL,2010,3.00
785,4913,LUTI,AL,2010,2.00
786,4913,LUTI,AL,2010,1.33
787,5201,LUTI,AL,2010,1.00
788,5201,LUTI,AL,2010,2.50
791,5202,LUTI,AL,2010,3.20
792,5202,LUTI,AL,2010,1.00
805,468,LUTI,AL,2010,1.00
806,5201,LUTI,AL,2010,4.25
807,5201,LUTI,AL,2010,6.00
808,5201,LUTI,AL,2010,2.25
816,4651,LUTI,AL,2010,3.67
817,4651,LUTI,AL,2010,3.75
818,4651,LUTI,AL,2010,5.00
851,5295,LUTI,AL,2010,4.00
1084,NA,LUTI,AL,2005,4.33
1085,NA,LUTI,AL,2005,1.00
1086,NA,LUTI,AL,2005,2.57
1087,NA,LUTI,AL,2005,0.80
1088,NA,LUTI,AL,2005,2.57
1089,NA,LUTI,AL,2005,3.14
1090,NA,LUTI,AL,2005,2.75
1091,NA,LUTI,AL,2005,3.67
1092,NA,LUTI,AL,2005,2.27
1093,NA,LUTI,AL,2005,3.38
1094,NA,LUTI,AL,2005,1.20
1095,NA,LUTI,AL,2005,2.73
1096,NA,LUTI,AL,2005,5.00
1097,NA,LUTI,AL,2005,4.20
1098,NA,LUTI,AL,2005,4.50
1099,NA,LUTI,AL,2005,4.83
1100,NA,LUTI,AL,2005,4.00
1101,NA,LUTI,AL,2005,5.00
1102,NA,LUTI,AL,2005,4.00
1103,NA,LUTI,AL,2005,5.00
1104,NA,LUTI,AL,2005,6.00
1105,NA,LUTI,AL,2005,5.00
1106,NA,LUTI,AL,2005,4.00
1107,NA,LUTI,AL,2008,5.00
1108,NA,LUTI,AL,2008,5.00
1109,NA,LUTI,AL,2008,6.00
1275,445,LUTI,AL,2009,5.00
1276,445,LUTI,AL,2009,5.00
1277,433,LUTI,AL,2009,3.00
1278,433,LUTI,AL,2009,5.00
1279,433,LUTI,AL,2009,6.00
1280,433,LUTI,AL,2009,3.00
1281,427,LUTI,AL,2009,4.00
1282,427,LUTI,AL,2009,6.00
1283,427,LUTI,AL,2009,5.00
1284,431,LUTI,AL,2009,5.00
1285,431,LUTI,AL,2009,4.00
1286,437,LUTI,AL,2009,3.00
1287,435,LUTI,AL,2009,1.00
1288,435,LUTI,AL,2009,4.00
1289,435,LUTI,AL,2009,4.00
1324,A,LUTI,ATT,2011,1.00
1325,A,LUTI,ATT,2011,2.00
1326,A,LUTI,ATT,2011,6.00
1327,A,LUTI,ATT,2011,1.00
1328,A,LUTI,ATT,2011,3.00
1329,A,LUTI,ATT,2011,6.00
1330,A,LUTI,ATT,2011,2.00
1331,A,LUTI,ATT,2011,2.00
1332,A,LUTI,ATT,2011,3.00
1333,A,LUTI,ATT,2011,1.00
1334,A,LUTI,ATT,2011,6.00
1335,B,LUTI,ATT,2011,5.00
1336,B,LUTI,ATT,2011,6.00
1337,B,LUTI,ATT,2011,2.00
1338,B,LUTI,ATT,2011,5.00
1339,B,LUTI,ATT,2011,6.00
1340,B,LUTI,ATT,2011,6.00
1341,B,LUTI,ATT,2011,6.00
1342,B,LUTI,ATT,2011,6.00
1343,B,LUTI,ATT,2011,4.00
1344,C,LUTI,ATT,2011,5.00
1345,D,LUTI,ATT,2011,5.00
1346,E,LUTI,ATT,2011,5.00
1347,E,LUTI,ATT,2011,5.00
1348,E,LUTI,ATT,2011,5.00
1349,E,LUTI,ATT,2011,6.00
1350,E,LUTI,ATT,2011,5.00
1351,E,LUTI,ATT,2011,4.00
1352,E,LUTI,ATT,2011,6.00
1353,E,LUTI,ATT,2011,6.00
1354,E,LUTI,ATT,2011,3.00
1355,E,LUTI,ATT,2011,6.00
1356,E,LUTI,ATT,2011,3.00
902,A,LUTI,BR,2010,3.50
903,A,LUTI,BR,2010,2.67
904,A,LUTI,BR,2010,3.67
905,A,LUTI,BR,2010,3.60
909,A,LUTI,BR,2010,2.00
910,A,LUTI,BR,2010,4.11
911,A,LUTI,BR,2010,0.40
912,A,LUTI,BR,2010,2.00
913,A,LUTI,BR,2010,1.00
914,A,LUTI,BR,2010,2.00
971,1050,LUTI,BR,2010,5.00
972,B,LUTI,BR,2010,2.00
973,B,LUTI,BR,2010,4.00
974,B,LUTI,BR,2010,4.00
975,B,LUTI,BR,2010,4.00
976,B,LUTI,BR,2010,5.00
977,B,LUTI,BR,2010,6.00
978,B,LUTI,BR,2010,6.00
979,B,LUTI,BR,2010,6.00
980,B,LUTI,BR,2010,6.00
981,B,LUTI,BR,2010,6.00
982,B,LUTI,BR,2010,6.00
983,386,LUTI,BR,2010,5.00
484,1115,LUTI,BS,2010,1.00
485,1115,LUTI,BS,2010,0.33
486,1115,LUTI,BS,2010,1.11
487,1016,LUTI,BS,2010,0.00
488,1017,LUTI,BS,2010,1.50
489,1017,LUTI,BS,2010,1.50
490,1017,LUTI,BS,2010,2.40
491,1024,LUTI,BS,2010,1.67
492,1103,LUTI,BS,2010,3.00
493,1217,LUTI,BS,2010,2.20
494,NA,LUTI,BS,2010,4.00
880,A,LUTI,BS,2010,2.38
881,A,LUTI,BS,2010,3.20
882,A,LUTI,BS,2010,3.00
883,A,LUTI,BS,2010,1.50
884,A,LUTI,BS,2010,1.43
885,A,LUTI,BS,2010,3.73
984,1107,LUTI,BS,2010,5.00
985,C,LUTI,BS,2010,5.38
726,5057,LUTI,DR,2010,4.80
727,5057,LUTI,DR,2010,3.25
739,5058,LUTI,DR,2010,3.29
740,N/A,LUTI,DR,2010,1.71
741,706,LUTI,DR,2010,4.00
742,706,LUTI,DR,2010,5.00
743,5064,LUTI,DR,2010,5.00
906,5036,LUTI,DR,2010,4.33
907,5036,LUTI,DR,2010,3.33
908,5067,LUTI,DR,2010,2.00
1357,F,LUTI,DR,2011,5.00
1358,F,LUTI,DR,2011,7.00
1359,F,LUTI,DR,2011,5.00
1360,F,LUTI,DR,2011,6.00
1361,F,LUTI,DR,2011,6.00
1362,F,LUTI,DR,2011,6.00
1363,F,LUTI,DR,2011,6.00
1364,F,LUTI,DR,2011,4.00
1365,F,LUTI,DR,2011,6.00
1366,F,LUTI,DR,2011,6.00
1367,F,LUTI,DR,2011,6.00
1368,F,LUTI,DR,2011,1.00
1369,F,LUTI,DR,2011,3.00
1370,F,LUTI,DR,2011,3.00
1371,F,LUTI,DR,2011,5.00
1372,F,LUTI,DR,2011,5.00
1373,F,LUTI,DR,2011,5.00
886,632,LUTI,NB,2010,2.00
887,617,LUTI,NB,2010,3.57
888,617,LUTI,NB,2010,4.67
889,622,LUTI,NB,2010,4.50
890,622,LUTI,NB,2010,4.22
891,622,LUTI,NB,2010,3.67
892,613,LUTI,NB,2010,3.60
893,613,LUTI,NB,2010,3.75
894,613,LUTI,NB,2010,6.17
895,613,LUTI,NB,2010,3.50
896,613,LUTI,NB,2010,5.71
897,635,LUTI,NB,2010,3.00
898,41,LUTI,NB,2010,2.78
899,612,LUTI,NB,2010,4.89
900,612,LUTI,NB,2010,4.20
901,612,LUTI,NB,2010,3.00
915,1247,LUTI,Pop9,2010,4.00
916,3516,LUTI,Pop9,2010,2.00
917,3513,LUTI,Pop9,2010,0.67
918,3549,LUTI,Pop9,2010,3.50
919,3543,LUTI,Pop9,2010,1.00
920,1251,LUTI,Pop9,2010,4.40
921,3524,LUTI,Pop9,2010,2.83
922,1257,LUTI,Pop9,2010,5.50
923,1257,LUTI,Pop9,2010,4.25
924,1257,LUTI,Pop9,2010,5.00
925,1250,LUTI,Pop9,2010,2.60
926,1250,LUTI,Pop9,2010,4.50
927,1250,LUTI,Pop9,2010,1.00
928,1250,LUTI,Pop9,2010,3.00
929,1262,LUTI,Pop9,2010,3.09
